0,ID,Lat,Lon,,,,,,,,,,,,,
220,US-Blo,38.8953,-120.6328,,,,,,,,,,,,,
221,US-BRG,39.2167,-86.5406,,,,,,,,,,,,,
222,US-BZB,64.6955,-148.3208,,,,,,,,,,,,,
223,US-BZF,64.7013,-148.3121,,,,,,,,,,,,,
224,US-BZo,64.6936,-148.3300,,,,,,,,,,,,,
225,US-BZS,64.6963,-148.3235,,,,,,,,,,,,,
226,US-CF1,46.7815,-117.0821,,,,,,,,,,,,,
227,US-CF2,46.7840,-117.0908,,,,,,,,,,,,,
228,US-CF3,46.7551,-117.1261,,,,,,,,,,,,,
229,US-CF4,46.7518,-117.1285,,,,,,,,,,,,,
230,US-Cop,38.0900,-109.3900,,,,,,,,,,,,,
231,US-CRT,41.6285,-83.3471,,,,,,,,,,,,,
232,US-CS1,44.1031,-89.5379,,,,,,,,,,,,,
233,US-CS2,44.1467,-89.5002,,,,,,,,,,,,,
234,US-CS3,44.1394,-89.5727,,,,,,,,,,,,,
235,US-CS4,44.1597,-89.5475,,,,,,,,,,,,,
236,US-DFC,43.3448,-89.7117,,,,,,,,,,,,,
237,US-DS3,38.1235,-121.5490,,,,,,,,,,,,,
238,US-EDN,37.6156,-122.1140,,,,,,,,,,,,,
239,US-EML,63.8784,-149.2536,,,,,,,,,,,,,
240,US-Fcr,65.3968,-148.9348,,,,,,,,,,,,,
241,US-Fmf,35.1426,-111.7273,,,,,,,,,,,,,
242,US-Fuf,35.0890,-111.7620,,,,,,,,,,,,,
243,US-GBT,41.3658,-106.2397,,,,,,,,,,,,,
244,US-GLE,41.3665,-106.2399,,,,,,,,,,,,,
245,US-Goo,34.2547,-89.8735,,,,,,,,,,,,,
246,US-Ha1,42.5378,-72.1715,,,,,,,,,,,,,
247,US-HB1,33.3455,-79.1957,,,,,,,,,,,,,
248,US-HB2,33.3242,-79.2440,,,,,,,,,,,,,
249,US-HB3,33.3482,-79.2322,,,,,,,,,,,,,
250,US-Hn2,46.6889,-119.4641,,,,,,,,,,,,,
251,US-Hn3,46.6878,-119.4614,,,,,,,,,,,,,
252,US-Ho2,45.2091,-68.7470,,,,,,,,,,,,,
253,US-HWB,40.8608,-77.8488,,,,,,,,,,,,,
254,US-IB2,41.8406,-88.241,,,,,,,,,,,,,
255,US-ICh,68.6068,-149.2958,,,,,,,,,,,,,
256,US-ICs,68.6058,-149.3110,,,,,,,,,,,,,
257,US-ICt,68.6063,-149.3041,,,,,,,,,,,,,
258,US-Ivo,68.4865,-155.7503,,,,,,,,,,,,,
259,US-Jo1,32.5820,-106.6350,,,,,,,,,,,,,
260,US-Jo2,32.5849,-106.6032,,,,,,,,,,,,,
261,US-KFS,39.0561,-95.1907,,,,,,,,,,,,,
262,US-KLS,38.7745,-97.5684,,,,,,,,,,,,,
263,US-Kon,39.0824,-96.5603,,,,,,,,,,,,,
264,US-KS1,28.4583,-80.6709,,,,,,,,,,,,,
265,US-KS2,28.6086,-80.6715,,,,,,,,,,,,,
266,US-KS3,28.7084,-80.7427,,,,,,,,,,,,,
267,US-Lin,36.3566,-119.0922,,,,,,,,,,,,,
268,US-Los,46.0827,-89.9792,,,,,,,,,,,,,
269,US-LS2,31.5659,-110.1344,,,,,,,,,,,,,
270,US-LWW,34.9604,-97.9789,,,,,,,,,,,,,
271,US-Me1,44.5794,-121.5000,,,,,,,,,,,,,
272,US-Me2,44.4526,-121.5589,,,,,,,,,,,,,
273,US-Me3,44.3154,-121.6078,,,,,,,,,,,,,
274,US-Me4,44.4992,-121.6224,,,,,,,,,,,,,
275,US-Me5,44.4372,-121.5668,,,,,,,,,,,,,
276,US-Me6,44.3233,-121.6078,,,,,,,,,,,,,
277,US-MMS,39.3232,-86.4131,,,,,,,,,,,,,
278,US-Mo1,39.2298,-92.1167,,,,,,,,,,,,,
279,US-Mo2,38.9488,-91.9945,,,,,,,,,,,,,
280,US-Mo3,39.2311,-92.1497,,,,,,,,,,,,,
281,US-MOz,38.7441,-92.2000,,,,,,,,,,,,,
282,US-Mpj,34.4385,-106.2377,,,,,,,,,,,,,
283,US-Myb,38.0499,-121.7650,,,,,,,,,,,,,
284,US-NC1,35.8118,-76.7119,,,,,,,,,,,,,
285,US-NC3,35.7990,-76.6560,,,,,,,,,,,,,
286,US-NC4,35.7879,-75.9038,,,,,,,,,,,,,
287,US-Ne1,41.1651,-96.4766,,,,,,,,,,,,,
288,US-Ne2,41.1649,-96.4701,,,,,,,,,,,,,
289,US-Ne3,41.1797,-96.4397,,,,,,,,,,,,,
290,US-NGB,71.2800,-156.6092,,,,,,,,,,,,,
291,US-NGC,64.8618,-163.7002,,,,,,,,,,,,,
292,US-NR1,40.0329,-105.5464,,,,,,,,,,,,,
293,US-Oho,41.5545,-83.8438,,,,,,,,,,,,,
294,US-ONA,27.3836,-81.9509,,,,,,,,,,,,,
295,US-ORv,40.0201,-83.0183,,,,,,,,,,,,,
296,US-OWC,41.3795,-82.5125,,,,,,,,,,,,,
297,US-PFa,45.9459,-90.2723,,,,,,,,,,,,,
298,US-Pnp,43.0896,-89.4158,,,,,,,,,,,,,
299,US-Prr,65.1237,-147.4876,,,,,,,,,,,,,
300,US-RGA,34.4159,-91.6733,,,,,,,,,,,,,
301,US-RGB,39.5782,-121.8579,,,,,,,,,,,,,
302,US-RGo,39.6805,-122.0026,,,,,,,,,,,,,
303,US-Rls,43.1439,-116.7356,,,,,,,,,,,,,
304,US-Rms,43.0645,-116.7486,,,,,,,,,,,,,
305,US-Ro1,44.7143,-93.0898,,,,,,,,,,,,,
306,US-Ro2,44.7288,-93.0888,,,,,,,,,,,,,
307,US-Ro4,44.6781,-93.0723,,,,,,,,,,,,,
308,US-Ro5,44.6910,-93.0576,,,,,,,,,,,,,
309,US-Ro6,44.6946,-93.0578,,,,,,,,,,,,,
310,US-Rpf,65.1198,-147.4290,,,,,,,,,,,,,
311,US-Rwe,43.0653,-116.7591,,,,,,,,,,,,,
312,US-Rwf,43.1207,-116.7231,,,,,,,,,,,,,
313,US-Rws,43.1675,-116.7132,,,,,,,,,,,,,
314,US-Seg,34.3623,-106.7020,,,,,,,,,,,,,
315,US-Ses,34.3349,-106.7442,,,,,,,,,,,,,
316,US-Sne,38.0369,-121.7547,,,,,,,,,,,,,
317,US-Snf,38.0402,-121.7272,,,,,,,,,,,,,
318,US-SRC,31.9083,-110.8395,,,,,,,,,,,,,
319,US-SRG,31.7894,-110.8277,,,,,,,,,,,,,
320,US-SRM,31.8214,-110.8661,,,,,,,,,,,,,
321,US-Srr,38.2006,-122.0264,,,,,,,,,,,,,
322,US-SRS,31.8173,-110.8508,,,,,,,,,,,,,
323,US-Sta,41.3966,-106.8024,,,,,,,,,,,,,
